permno date
90494 2018-05-10
83162 2004-02-02
62500 2005-05-04
78083 2004-11-22
69075 2006-07-25
77659 2017-02-07
80369 2006-04-24
78963 2015-08-26
80560 2007-10-01
90861 2007-06-05
16282 2018-05-10
83967 2005-05-02
92806 2011-02-09
86307 2004-11-24
62500 2007-05-07
12402 2017-04-27
13644 2015-08-04
14004 2014-09-30
48960 2006-04-03
14506 2015-06-02
16398 2018-11-14
80121 2004-09-21
12063 2007-04-30
80185 2018-08-02
80679 2005-10-17
11481 2008-10-08
14017 2015-02-05
87606 2006-08-03
84605 2004-11-08
77868 2014-08-20
18736 2019-07-29
78818 2004-11-03
87585 2005-10-13
14426 2015-12-15
11481 2010-03-08
54181 2006-04-26
77007 2011-03-30
77517 2007-07-24
12356 2015-08-12
88539 2006-05-30
88498 2005-01-12
52919 2008-09-18
76695 2011-11-17
12742 2013-04-11
89306 2005-05-04
17035 2018-05-07
81172 2004-03-15
52919 2008-10-06
10108 2004-04-21
27756 2010-07-27
11415 2008-11-18
16587 2017-04-17
15003 2016-06-07
91514 2010-09-27
76653 2007-12-31
80679 2004-11-29
84599 2006-11-14
15003 2018-12-03
14719 2015-06-19
80185 2014-12-12
10119 2007-08-15
10078 2009-08-20
89431 2004-12-08
78867 2005-02-07
11481 2009-10-12
78963 2013-05-03
77435 2004-01-16
12742 2012-03-20
87585 2005-02-23
92018 2007-08-16
78963 2015-05-27
13250 2014-07-08
85675 2018-07-19
92935 2009-12-07
54181 2007-08-15
83693 2005-05-04
86917 2005-02-11
90861 2006-01-03
77659 2017-11-28
91364 2007-06-18
16398 2019-07-15
16587 2017-10-25
81912 2016-07-20
92183 2015-03-25
16278 2018-12-11
77007 2015-03-06
76653 2007-10-30
92183 2008-08-04
58608 2007-01-09
76129 2006-04-13
12169 2006-01-30
86268 2004-07-15
92558 2009-05-27
90222 2006-08-02
90616 2006-05-31
91400 2007-04-24
89289 2015-09-02
12063 2007-02-07
14423 2019-05-13
52919 2008-07-30
14695 2017-03-02
81912 2019-07-24
13292 2012-07-24
83967 2005-04-25
16587 2018-02-12
77659 2014-07-14
89431 2010-05-06
90323 2007-12-19
46922 2017-01-20
80185 2017-09-11
90323 2009-10-14
12903 2012-03-19
52919 2008-08-28
13644 2013-04-01
13222 2012-08-16
27756 2016-03-03
91514 2017-01-25
87585 2005-06-29
13932 2015-10-23
11415 2008-03-04
88342 2004-04-22
77257 2005-04-26
77517 2004-07-13
75077 2004-08-03
89289 2013-08-22
18141 2019-04-01
11481 2013-05-01
84546 2012-06-12
92295 2007-12-13
14426 2018-08-13
86725 2005-06-20
12402 2015-06-29
86725 2008-09-09
79121 2006-09-15
92330 2009-11-03
84075 2004-02-02
78867 2005-07-15
17868 2019-03-25
62500 2005-04-19
75077 2006-08-01
91380 2004-04-22
92938 2010-09-15
18771 2019-07-01
76653 2008-08-18
15003 2016-04-29
14695 2017-06-20
83162 2004-10-26
12789 2012-07-09
84442 2004-01-22
16052 2016-07-18
62906 2007-01-17
12637 2014-03-18
92483 2008-07-30
83162 2005-02-28
12637 2013-07-10
80185 2012-08-10
90323 2011-12-06
50606 2016-01-28
12575 2012-07-25
13909 2018-01-31
88748 2008-06-24
13627 2013-05-01
12398 2011-11-08
50606 2015-09-02
80679 2012-06-06
89431 2009-02-09
52919 2008-10-03
90802 2007-08-29
89289 2016-05-19
11481 2017-11-08
13644 2013-09-17
16154 2018-02-22
17671 2012-01-05
77279 2018-05-16
14290 2015-04-10
12347 2014-08-18
16587 2017-08-10
23085 2013-09-26
85933 2004-06-01
92183 2014-06-10
92295 2007-11-13
90699 2006-03-02
62500 2005-05-23
93141 2010-12-17
81661 2007-01-23
90613 2005-04-22
13316 2015-06-02
52919 2008-06-18
81912 2017-08-02
12789 2013-07-15
93188 2018-05-23
27756 2015-11-24
89289 2016-08-18
37807 2016-06-08
10119 2004-07-22
83581 2005-03-03
86725 2010-11-29
90699 2011-01-18
15003 2016-06-21
16278 2017-03-22
12637 2013-01-07
11481 2019-01-02
37807 2010-11-15
92018 2011-12-27
42140 2016-04-18
72696 2013-10-24
16657 2017-12-04
80121 2004-12-21
92183 2015-08-12
12169 2006-08-22
92299 2012-08-02
12169 2004-10-13
17894 2018-11-12
83162 2004-07-27
80679 2011-02-28
13367 2015-03-11
86725 2013-06-25
91514 2011-12-13
80679 2006-11-02
15485 2017-06-20
13644 2015-06-16
65083 2004-06-01
17673 2018-08-07
11481 2008-04-16
89769 2005-07-26
11481 2009-05-06
80369 2006-10-31
87513 2004-08-10
17042 2018-04-23
17035 2018-06-18
33603 2006-11-15
13627 2017-03-31
14695 2015-02-17
77279 2018-05-15
90222 2005-11-28
27756 2014-02-11
92558 2012-11-14
14423 2016-08-18
80000 2004-08-10
77007 2011-06-15
80997 2004-12-02
83317 2004-11-29
84546 2012-01-17
53129 2004-03-19
27756 2015-09-04
16398 2019-06-11
88748 2006-10-26
92497 2012-06-13
11481 2009-08-24
16073 2018-06-19
75077 2006-10-31
19992 2004-04-26
11415 2004-08-30
77007 2014-11-17
14005 2015-04-29
77517 2004-04-15
78818 2005-03-16
75077 2005-12-08
77868 2007-10-09
72696 2017-06-06
91514 2018-07-18
52919 2008-09-29
88270 2005-07-12
12169 2005-07-18
12169 2006-03-27
62906 2006-06-01
14433 2015-05-26
84599 2004-08-05
83967 2004-07-22
78963 2015-02-26
78963 2014-05-28
87507 2007-02-05
90323 2012-01-25
70674 2004-01-05
84442 2004-09-21
80560 2011-01-07
89742 2004-03-16
92558 2009-08-14
11481 2014-02-04
92216 2008-04-09
91470 2007-01-24
15176 2016-06-14
16149 2017-01-17
17673 2018-10-08
88748 2004-01-29
85933 2004-05-20
18150 2019-03-28
11481 2008-11-10
84808 2015-06-05
92935 2009-10-28
16268 2017-01-24
14167 2016-03-31
88377 2007-06-14
87637 2011-02-10
82535 2004-08-30
90699 2005-11-04
91401 2007-06-20
16149 2016-10-10
92183 2011-01-24
85431 2005-02-03
12347 2011-04-12
81661 2006-07-17
16282 2018-11-09
89864 2004-09-22
85933 2004-07-27
61065 2005-04-29
78867 2004-11-03
11481 2016-02-29
10119 2006-02-22
13316 2016-06-01
90014 2006-12-19
93323 2011-03-11
46922 2014-06-19
12789 2015-04-20
13627 2015-06-09
10507 2011-06-28
16398 2018-02-12
16597 2018-06-13
91514 2016-05-23
13316 2019-05-31
92330 2010-02-08
90222 2007-01-08
85816 2004-12-09
86307 2004-06-28
89289 2013-11-14
12402 2011-04-11
89431 2008-02-05
45110 2004-02-25
50606 2015-09-23
12402 2016-12-12
90861 2006-04-03
80369 2006-09-25
90014 2006-05-23
86433 2004-04-22
77052 2004-11-01
46922 2016-10-19
89306 2004-04-13
12169 2004-02-03
14167 2016-10-31
16278 2019-02-22
17692 2019-05-15
91675 2008-02-27
80679 2011-05-26
77433 2004-01-28
12356 2017-11-02
13294 2013-03-11
91661 2007-10-15
13909 2014-05-14
75077 2006-02-14
58608 2006-03-16
52919 2008-08-26
83317 2006-05-03
72696 2013-04-29
27756 2010-06-30
12691 2012-05-30
62834 2006-02-02
77042 2004-05-27
92018 2012-04-19
77517 2007-08-09
93323 2012-11-14
91675 2007-12-10
88498 2006-12-05
10507 2014-08-07
91380 2005-10-24
16282 2018-12-06
85336 2007-04-23
89001 2004-02-18
89431 2004-06-15
80997 2005-08-18
91022 2006-08-21
14447 2014-08-18
28484 2014-05-01
87585 2006-01-24
13292 2016-05-31
90323 2005-03-28
76653 2007-02-07
88635 2007-03-26
12398 2011-04-11
78818 2006-01-05
82831 2013-12-12
18150 2019-03-13
89431 2006-05-03
13227 2012-09-24
50606 2014-11-04
90331 2006-01-10
10507 2006-10-17
10909 2019-01-14
82831 2014-03-28
14164 2015-03-23
12169 2005-11-02
88377 2007-06-29
90802 2006-08-29
14005 2016-02-22
82643 2012-07-27
91401 2007-08-13
92558 2011-02-03
78877 2016-08-23
78963 2015-09-30
90323 2011-02-02
82643 2016-05-20
13292 2015-01-12
78963 2015-06-25
13932 2016-06-22
92317 2008-05-05
14167 2014-11-11
75077 2006-04-13
92558 2010-08-23
14017 2015-08-14
86433 2004-04-12
12440 2015-01-28
82831 2017-11-02
84549 2005-10-10
45110 2004-04-13
12789 2014-03-17
87637 2011-08-15
46922 2014-04-23
10163 2007-11-06
77257 2005-05-16
92018 2008-05-29
87606 2005-05-03
12356 2011-07-01
51457 2012-08-01
76653 2008-05-01
13316 2016-07-27
76695 2015-04-10
81098 2005-04-13
12169 2005-05-25
51457 2012-06-14
77339 2004-12-28
12637 2013-08-09
86433 2004-01-26
54181 2008-03-14
84808 2015-07-23
14423 2018-11-08
14423 2018-10-22
92497 2013-02-01
77163 2008-09-25
92806 2009-05-19
91364 2006-10-03
84808 2015-03-24
90413 2006-06-20
11481 2019-07-22
75228 2005-07-25
16654 2018-07-24
27756 2016-02-24
82643 2013-04-25
88748 2008-06-03
84549 2005-10-27
58608 2005-03-15
10984 2006-02-03
11481 2012-11-13
51457 2012-10-19
64152 2004-06-09
71686 2004-06-21
80000 2006-10-03
16282 2018-03-20
12789 2014-08-11
33603 2005-10-10
16654 2018-12-07
14004 2014-08-13
10163 2005-06-28
27748 2007-05-11
11415 2008-06-19
16654 2019-07-25
27756 2014-07-29
77433 2004-10-27
48960 2005-08-11
12637 2014-09-10
15003 2017-05-10
37807 2007-04-10
57780 2005-04-11
12742 2014-02-13
15003 2016-02-01
84599 2006-08-03
12169 2005-10-25
10984 2006-01-30
16398 2019-07-23
77279 2012-10-23
12402 2018-05-17
92183 2011-02-01
13909 2014-09-19
50606 2014-08-05
12440 2015-01-21
12356 2012-09-17
86433 2004-01-27
85336 2007-07-30
11481 2011-12-02
14017 2014-08-20
14719 2015-05-11
45110 2005-01-21
84599 2005-03-16
